folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,target_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_corr_drift,f1_baseline,f1_synthetic,exact_match_rate,overall_pass,composite_score,rank,target_cols,utility_pass_rate
065_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,minkowski,jaccard,3,42,56.944,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0217585547143835,138,,
072_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,minkowski,overlap,3,42,57.059,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.020608554714384,139,,
069_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,minkowski,overlap,3,42,57.51,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0160985547143837,140,,
088_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,2.0,2.0,balanced,weighted_sum,manhattan,hamming,3,42,59.826,2813.23,3179,1.0,0.875,0.001,0.029,0.014,0.2906,0.2231,0.0,False,2.015461954576738,141,,
043_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,euclidean,jaccard,3,42,57.74,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0137985547143837,142,,
049_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,manhattan,hamming,3,42,57.8,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.013198554714384,143,,
041_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-euclidean_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/euclidean/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,1.0,balanced,gower,euclidean,jaccard,3,42,58.278,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,2.0084185547143836,144,,
070_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,1.0,2.0,balanced,gower,minkowski,overlap,3,42,59.137,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,1.9998285547143837,145,,
071_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-minkowski_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/minkowski/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,1.0,balanced,gower,minkowski,overlap,3,42,59.353,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,1.9976685547143838,146,,
094_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-overlap_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/overlap/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,2.0,balanced,weighted_sum,manhattan,overlap,3,42,56.56,2813.23,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2076,0.0,False,1.9942840330351,147,,
052_k3_cat-mode_num-weighted_mean_tgt-mode_scale-standard_gower-manhattan_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=standard gower/manhattan/gower/balanced,3,3,mode,weighted_mean,mode,standard,2.0,2.0,balanced,gower,manhattan,hamming,3,42,60.939,497.07,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2167,0.0,False,1.9818085547143838,148,,
090_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-jaccard_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/jaccard/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,2.0,balanced,weighted_sum,manhattan,jaccard,3,42,58.378,2813.23,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2076,0.0,False,1.9761040330350998,149,,
086_k3_cat-mode_num-weighted_mean_tgt-mode_scale-minmax_weighted_sum-manhattan-cat-hamming_w-balanced,K=3 cat=mode num=weighted_mean tgt=mode scale=minmax weighted_sum/manhattan/hamming/balanced,3,3,mode,weighted_mean,mode,minmax,1.0,2.0,balanced,weighted_sum,manhattan,hamming,3,42,58.528,2813.23,3179,1.0,0.875,0.0,0.0295,0.01465,0.2906,0.2076,0.0,False,1.9746040330350998,150,,
